Category,Year,Employment,,,,,,
Solar,2010,"93,502",,,,,,
Solar,2011,"100,237",,,,,,
Solar,2012,"119,017",,,,,,
Solar,2013,"142,697",,,,,,
Solar,2014,"173,807",,,,,,
Solar,2015,"208,859",,,,,,
Coal,2010,86195,,,,,,
Coal,2011,91611,,,,,,
Coal,2012,89838,,,,,,
Coal,2013,80396,,,,,,
Coal,2014,74931,,,,,,
Coal,2015,65971,,,,,,
